University Name,Established Since,Sector,Chartered By,City,Province,Recognised University
Institute of Business Administration,8/17/1994,Public,Government of Sindh,Karachi,Sindh,Yes
Institute of Business Management,4/27/1998,Private,Government of Sindh,Karachi,Sindh,Yes
"Institute of Management and Applied Sciences, Khanewal",11/24/2021,Private,Government of Punjab,Khanewal,Punjab,Yes
Institute of Management Science,10/2/2002,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
Institute of Management Sciences,4/10/2002,Private,Government of Punjab,Lahore,Punjab,Yes
Institute of Southern Punjab,8/2/2010,Private,Government of Punjab,Multan,Punjab,Yes
Institute of Space Technology,4/12/2005,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
"International Institute of Science, Arts and Technology, Gujranwala",7/7/2022,Private,Government of Pakistan,Gujranwala,Punjab,Yes
International Islamic University,3/31/1985,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
Iqra National University,4/23/2011,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
Iqra University,6/21/2000,Private,Government of Sindh,Karachi,Sindh,Yes
Islamia College Peshawar,3/20/2008,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
Islamia University,3/4/1975,Public,Government of Punjab,Bahawal Pur,Punjab,Yes
Isra University,9/27/1997,Private,Government of Sindh,Hyderabad,Sindh,Yes
Jinnah Sindh Medical University,3/21/2013,Public,Government of Pakistan,Karachi,Sindh,Yes
Jinnah University for Women,6/2/1998,Private,Government of Sindh,Karachi,Sindh,Yes
Karachi Institute of Economics & Technology,5/24/2001,Private,Government of Sindh,Karachi,Sindh,Yes
"Karachi Institute of Technology and Entrepreneurship (KITE), Karachi",10/7/2016,Private,Government of Sindh,Karachi,Sindh,Yes
Karachi School of Business and Leadership,3/11/2013,Private,Government of Sindh,Karachi,Sindh,Yes
Karakurum International University,8/28/2002,Public,Government of Pakistan,Gilgit,Gilgit Baltistan,Yes
KASB Institute of Technology,6/28/2001,Private,Government of Sindh,Karachi,Sindh,Yes
"Khawaja Freed University of Engineering & Information Technology, Rahim Yar Khan",5/29/2014,Public,Government of Punjab,Rahim Yar Khan,Punjab,Yes
Khushal Khan Khattak University,5/18/2012,Public,Government of Khyber Pakhtunkhwa,Karak,Khyber Pakhtunkhwa,Yes
Khyber Medical University,1/13/2007,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
